filename	measure	score
PMC4713397.txt	automated_readability_index	22.3
PMC4713397.txt	coleman_liau_index	17.07
PMC4713398.txt	flesch_reading_ease	9.96
PMC4713398.txt	gunning_fog	20.55
PMC4713398.txt	automated_readability_index	27.3
PMC4713398.txt	coleman_liau_index	19.45
PMC4713399.txt	flesch_reading_ease	17.27
PMC4713399.txt	gunning_fog	18.14
PMC4713399.txt	automated_readability_index	21.7
PMC4713399.txt	coleman_liau_index	17.7
PMC4722047.txt	flesch_reading_ease	29.08
PMC4722047.txt	gunning_fog	17.05
PMC4722047.txt	automated_readability_index	19.4
PMC4722047.txt	coleman_liau_index	16.71
PMC4724354.txt	flesch_reading_ease	15.41
PMC4724354.txt	gunning_fog	16.8
PMC4724354.txt	automated_readability_index	19.9
PMC4724354.txt	coleman_liau_index	18.62
PMC4724355.txt	flesch_reading_ease	42.65
PMC4724355.txt	gunning_fog	16.29
PMC4724355.txt	automated_readability_index	20.6
PMC4724355.txt	coleman_liau_index	15.32
PMC4724356.txt	flesch_reading_ease	26.54
PMC4724356.txt	gunning_fog	15.59
PMC4724356.txt	automated_readability_index	19.5
PMC4724356.txt	coleman_liau_index	15.32
PMC4729759.txt	flesch_reading_ease	30.6
PMC4729759.txt	gunning_fog	17.91
PMC4729759.txt	automated_readability_index	19.0
PMC4729759.txt	coleman_liau_index	17.12
PMC4729760.txt	flesch_reading_ease	29.93
PMC4729760.txt	gunning_fog	17.9
PMC4729760.txt	automated_readability_index	21.0
PMC4729760.txt	coleman_liau_index	14.52
PMC4729761.txt	flesch_reading_ease	36.97
PMC4729761.txt	gunning_fog	17.35
PMC4729761.txt	automated_readability_index	21.4
PMC4729761.txt	coleman_liau_index	13.94
PMC4729762.txt	flesch_reading_ease	36.28
PMC4729762.txt	gunning_fog	13.12
PMC4729762.txt	automated_readability_index	15.6
PMC4729762.txt	coleman_liau_index	15.95
PMC4737710.txt	flesch_reading_ease	58.82
PMC4737710.txt	gunning_fog	13.7
PMC4737710.txt	automated_readability_index	15.3
PMC4737710.txt	coleman_liau_index	13.81
PMC4742418.txt	flesch_reading_ease	4.52
PMC4742418.txt	gunning_fog	25.99
PMC4742418.txt	automated_readability_index	31.5
PMC4742418.txt	coleman_liau_index	16.96
PMC4742419.txt	flesch_reading_ease	27.35
PMC4742419.txt	gunning_fog	17.05
PMC4742419.txt	automated_readability_index	20.3
PMC4742419.txt	coleman_liau_index	16.6
PMC4742420.txt	flesch_reading_ease	28.84
PMC4742420.txt	gunning_fog	14.33
PMC4742420.txt	automated_readability_index	16.7
PMC4742420.txt	coleman_liau_index	18.21
PMC4742421.txt	flesch_reading_ease	30.09
PMC4742421.txt	gunning_fog	15.84
PMC4742421.txt	automated_readability_index	19.2
PMC4742421.txt	coleman_liau_index	17.24
PMC4746197.txt	flesch_reading_ease	24.95
PMC4746197.txt	gunning_fog	20.33
PMC4746197.txt	automated_readability_index	22.6
PMC4746197.txt	coleman_liau_index	13.7
PMC4746198.txt	flesch_reading_ease	33.58
PMC4746198.txt	gunning_fog	17.44
